               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  75,            0.031925,            0.010167,                   0,             0.88888,              0.9411,             0.89141,             0.71203,            0.021263,           0.0063155,                   0,           0.0010547,           0.0010547,            0.055555
                  76,            0.029956,           0.0097867,                   0,             0.88865,             0.94118,             0.89141,             0.71007,            0.020479,            0.006277,                   0,           0.0010233,           0.0010233,            0.054923
                  77,            0.027763,            0.010306,                   0,             0.88878,             0.94118,             0.89325,              0.7083,            0.021536,           0.0061771,                   0,          0.00099214,          0.00099214,            0.054292
                  78,            0.028315,            0.010021,                   0,             0.88874,             0.94118,             0.89781,             0.71002,            0.020449,           0.0060857,                   0,          0.00096146,          0.00096146,            0.053661
                  79,            0.028315,            0.010472,                   0,             0.88869,             0.94118,             0.89325,             0.72823,            0.021228,           0.0059038,                   0,          0.00093132,          0.00093132,            0.053031
                  80,            0.027237,           0.0091005,                   0,             0.88865,             0.94118,             0.89781,             0.71767,            0.019861,           0.0058676,                   0,          0.00090182,          0.00090182,            0.052402
                  81,            0.028172,           0.0095024,                   0,             0.88883,             0.94118,             0.89781,             0.72677,             0.01933,           0.0058249,                   0,          0.00087307,          0.00087307,            0.051773
                  82,            0.025835,           0.0095963,                   0,             0.88858,             0.94118,             0.89781,             0.71838,            0.019356,           0.0058401,                   0,          0.00084516,          0.00084516,            0.051145
                  83,            0.027231,            0.009466,                   0,             0.88884,             0.94118,             0.90275,             0.75819,            0.018975,           0.0058034,                   0,          0.00081821,          0.00081821,            0.050518
                  84,             0.02721,            0.009766,                   0,             0.88871,             0.94118,             0.90275,             0.72853,            0.019274,           0.0057546,                   0,          0.00079232,          0.00079232,            0.049892
                  85,            0.029195,           0.0097672,                   0,             0.88851,             0.94118,             0.89781,             0.74706,            0.020687,           0.0056898,                   0,          0.00076759,          0.00076759,            0.049268
                  86,            0.028064,           0.0097462,                   0,             0.88871,             0.94118,             0.89781,             0.72785,            0.019224,           0.0056313,                   0,          0.00074413,          0.00074413,            0.048644
                  87,            0.025292,           0.0092398,                   0,             0.88859,             0.94118,             0.89181,             0.71295,            0.018808,           0.0055462,                   0,          0.00072204,          0.00072204,            0.048022
                  88,            0.023501,           0.0098287,                   0,              0.8887,             0.94118,             0.89729,             0.72118,             0.01992,           0.0054068,                   0,          0.00070143,          0.00070143,            0.047401
                  89,            0.025515,           0.0096844,                   0,              0.8887,             0.94118,             0.89729,             0.73141,            0.019234,           0.0053414,                   0,          0.00068239,          0.00068239,            0.046782
                  90,            0.023183,           0.0093966,                   0,             0.88879,             0.94118,             0.89729,             0.73019,            0.018517,             0.00525,                   0,          0.00066503,          0.00066503,            0.046165
                  91,            0.025778,            0.010092,                   0,             0.88878,             0.94118,             0.91342,             0.76545,            0.018705,           0.0052238,                   0,          0.00064945,          0.00064945,            0.045549
                  92,            0.024558,           0.0084173,                   0,             0.88877,             0.94118,             0.90881,             0.76473,            0.019958,           0.0051978,                   0,          0.00063575,          0.00063575,            0.044936
                  93,             0.02523,           0.0094879,                   0,             0.88888,             0.94108,             0.90798,             0.74589,            0.017707,           0.0052411,                   0,          0.00062401,          0.00062401,            0.044324
                  94,            0.023796,             0.00853,                   0,             0.88873,             0.94118,             0.90798,             0.72876,            0.017867,           0.0052295,                   0,          0.00061435,          0.00061435,            0.043714
                  95,            0.023344,           0.0080929,                   0,             0.88885,              0.9408,             0.90798,             0.71895,            0.019051,           0.0052016,                   0,          0.00060686,          0.00060686,            0.043107
                  96,            0.022542,           0.0088959,                   0,             0.88877,             0.94118,             0.90298,             0.76164,            0.017412,           0.0051872,                   0,          0.00060162,          0.00060162,            0.042502
                  97,            0.021961,           0.0087144,                   0,             0.88878,             0.94118,             0.90298,             0.75181,            0.017937,           0.0050933,                   0,          0.00059872,          0.00059872,            0.041899
                  98,            0.021981,           0.0087489,                   0,             0.88861,             0.94118,             0.90298,             0.75088,            0.016936,           0.0050236,                   0,          0.00059827,          0.00059827,            0.041298
                  99,            0.022963,           0.0091111,                   0,             0.88861,             0.94118,             0.90298,             0.75587,            0.017375,           0.0049855,                   0,          0.00060033,          0.00060033,              0.0407
